Zürich;Durchschnittstemperatur des wärmsten Monats (in °C);21.1
Bern;Durchschnittstemperatur des wärmsten Monats (in °C);20.7
Luzern;Durchschnittstemperatur des wärmsten Monats (in °C);21.2
Basel;Durchschnittstemperatur des wärmsten Monats (in °C);22.2
St. Gallen;Durchschnittstemperatur des wärmsten Monats (in °C);19.6
Lugano:;Durchschnittstemperatur des wärmsten Monats (in °C);24.8
Lausanne;Durchschnittstemperatur des wärmsten Monats (in °C);22.4
Genf;Durchschnittstemperatur des wärmsten Monats (in °C);22.5
